ids,labels,parents
Energy Drink, Functional
Whiskey, Spirits
Sparkling, Water
Mixers, Cocktails
Enhanced, Water
Still, Water
Sweetened, Tea
Tequila, Spirits
Cold Brew, Coffee
Vodka, Spirits
Juice Drink, Juice
Protein Drinks and Supplements, Functional
Unsweetened, Tea
Lemonade, Juice
CBD, Functional
Herbal and Alternative, Tea
Other Shots, Functional
Fruit Juice, Juice
Other Liqueur, Spirits
Gin, Spirits
Coconut Water and Juice, Juice
Cold Pressed or Raw, Juice
Ready to Pour Cocktail, Spirits
Hydration / Electrolyte Drinks, Functional
Alcohol-Free, Spirits
Other Tablets & Powder, Functional
Yerba Mate, Tea
Probiotic / Prebiotic, Functional
Rum, Spirits
Sports Drink, Sports Drinks
Mocktails, Cocktails
Relaxation Drink, Functional
Smoothie, Juice
Nut, Seed or Fruit Milk, Juice
Bourbon, Spirits
Recovery and Hangover, Functional
Energy Shot, Functional
Mezcal, Spirits
Sparkling Juice, Juice
Matcha, Tea
Energy Supplement, Functional
THC, Functional
Flavored Milk, Dairy
Vinegar-based, Functional
Adaptogenic / Other, Functional
Plant Water, Juice
Fitness and Supplement Drinks, Sports Drinks
Bitters, Cocktails
Smoothie and Shakes, Dairy
Brandy, Spirits
Hard Kombucha, Kombucha
Meal Replacement, Functional
Scotch, Spirits
Cognac, Spirits
Other, Juice
Liqueur, Spirits
Aloe Vera, Juice
Non-Alcoholic, Beer
Margarita, Cocktails
Milk, Dairy
Low-Alcohol, Spirits
High Protein, Dairy
Margaritas, Cocktails
Moonshine, Spirits
